instance,parent,issue_type,dead_names,missing_slots,visual_tier,sibling_group,lookdev_note
/Game/Melodia/_PROJECT/04_Materials/Landscape/Instances/MI_HybridLandscape_InkFocus,/Game/_PROJECT/04_Materials/Landscape/M_HybridLandscape_MooaToonSDF.M_HybridLandscape_MooaToonSDF,DEAD-OVERRIDE,AudioReactivity; Gilding; InkAmount; NormalMapScale; ParallaxAmount; Roughness; TriplanarEnable,,HERO,,Dead overrides may cause unpredictable shading: AudioReactivity; Gilding; InkAmount; NormalMapScale; Paralla
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MelodiaInk_GameplayStandard,/Game/Melodia/_PROJECT/04_Materials/PostProcess/M_PP_MelodiaInk.M_PP_MelodiaInk,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MelodiaInk_Narrative,/Game/Melodia/_PROJECT/04_Materials/PostProcess/M_PP_MelodiaInk.M_PP_MelodiaInk,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MelodiaInk_PortfolioHero,/Game/Melodia/_PROJECT/04_Materials/PostProcess/M_PP_MelodiaInk.M_PP_MelodiaInk,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MeluColorGrade_GameplayStandard,/Game/_PROJECT/04_Materials/PostProcess/M_PP_MeluColorGrade.M_PP_MeluColorGrade,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MeluColorGrade_Narrative,/Game/_PROJECT/04_Materials/PostProcess/M_PP_MeluColorGrade.M_PP_MeluColorGrade,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MeluColorGrade_PortfolioHero,/Game/_PROJECT/04_Materials/PostProcess/M_PP_MeluColorGrade.M_PP_MeluColorGrade,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MeluGrade_Gameplay,/Game/_PROJECT/04_Materials/PostProcess/M_PP_MeluColorGrade.M_PP_MeluColorGrade,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/PostProcess/Candidates/Profiles/MI_MeluGrade_Hero,/Game/_PROJECT/04_Materials/PostProcess/M_PP_MeluColorGrade.M_PP_MeluColorGrade,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Architecture_GothicCathedral,,ORPHAN,,,BACKGROUND,,No parent - will render as default grey
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Architecture_ModernGeo,,ORPHAN,,,BACKGROUND,,No parent - will render as default grey
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Architecture_RomanBastille,,ORPHAN,,,BACKGROUND,,No parent - will render as default grey
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Baroque_GildedRose,/Game/_PROJECT/04_Materials/SDF/M_SDF_Baroque.M_SDF_Baroque,OK,,,HERO,,Live overrides present
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Baroque_InkwellRelief,/Game/_PROJECT/04_Materials/SDF/M_SDF_Baroque.M_SDF_Baroque,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_HybridStone_SDF,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Music_AquaWave,/Game/_PROJECT/04_Materials/SDF/M_SDF_Musical.M_SDF_Musical,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_Music_NeonPulse,/Game/_PROJECT/04_Materials/SDF/M_SDF_Musical.M_SDF_Musical,OK,,,HERO,,Live overrides present
